STATE,DISTRICT,MARGIN
Hawaii,4,0.06999999999999318
Oklahoma,4,0.06999999999999318
Louisiana,4,0.06999999999999318
North Dakota,4,0.06999999999999318
New Jersey,4,0.06999999999999318
Massachusetts,4,0.06999999999999318
Idaho,4,0.06999999999999318
Nevada,4,0.06999999999999318
South Carolina,4,0.06999999999999318
Ohio,4,0.06999999999999318
Nebraska,4,0.06999999999999318
Maryland,4,0.06999999999999318
Montana,4,0.06999999999999318
Texas,4,0.06999999999999318
Delaware,4,0.06999999999999318
Northern Mariana Islands,4,0.06999999999999318
Utah,4,0.06999999999999318
District of Columbia,4,0.06999999999999318
Michigan,4,0.06999999999999318
Nebraska,12,0.0800000000000125
Montana,12,0.0800000000000125
North Carolina,12,0.0800000000000125
Minnesota,12,0.0800000000000125
Alabama,12,0.0800000000000125
New York,12,0.0800000000000125
New Mexico,12,0.0800000000000125
New Hampshire,12,0.0800000000000125
Ohio,12,0.0800000000000125
District of Columbia,12,0.0800000000000125
Pennsylvania,12,0.0800000000000125
Kansas,12,0.0800000000000125
Indiana,12,0.0800000000000125
Oregon,12,0.0800000000000125
Guam,12,0.0800000000000125
Tennessee,12,0.0800000000000125
Virgin Islands,12,0.0800000000000125
Arkansas,12,0.0800000000000125
Kentucky,12,0.0800000000000125
Mississippi,12,0.0800000000000125
Washington,12,0.0800000000000125
Georgia,12,0.0800000000000125
Wyoming,12,0.0800000000000125
South Dakota,12,0.0800000000000125
Alaska,12,0.0800000000000125
Virginia,12,0.0800000000000125
Rhode Island,12,0.0800000000000125
Oklahoma,12,0.0800000000000125
North Dakota,12,0.0800000000000125
Arizona,12,0.0800000000000125
Missouri,12,0.0800000000000125
Massachusetts,12,0.0800000000000125
New Jersey,12,0.0800000000000125
Maryland,12,0.0800000000000125
Illinois,12,0.0800000000000125
Texas,12,0.0800000000000125
Hawaii,12,0.0800000000000125
Delaware,12,0.0800000000000125
Louisiana,12,0.0800000000000125
Maine,12,0.0800000000000125
Northern Mariana Islands,12,0.0800000000000125
Utah,12,0.0800000000000125
Michigan,12,0.0800000000000125
West Virginia,12,0.0800000000000125
Connecticut,12,0.0800000000000125
American Samoa,12,0.0800000000000125
Colorado,12,0.0800000000000125
Iowa,12,0.0800000000000125
Wisconsin,12,0.0800000000000125
Nevada,12,0.0800000000000125
South Carolina,12,0.0800000000000125
California,12,0.0800000000000125
Florida,12,0.0800000000000125
Vermont,12,0.0800000000000125
Tennessee,1,0.10000000000000142
Nevada,1,0.10000000000000142
Maine,1,0.10000000000000142
Ohio,1,0.10000000000000142
Arizona,1,0.10000000000000142
Oklahoma,1,0.10000000000000142
Massachusetts,1,0.10000000000000142
Hawaii,1,0.10000000000000142
Georgia,1,0.10000000000000142
California,1,0.10000000000000142
Illinois,1,0.10000000000000142
West Virginia,1,0.10000000000000142
Montana,1,0.10000000000000142
Connecticut,1,0.10000000000000142
Delaware,1,0.10000000000000142
Northern Mariana Islands,1,0.10000000000000142
Guam,1,0.10000000000000142
North Dakota,1,0.10000000000000142
Missouri,1,0.10000000000000142
Virgin Islands,1,0.10000000000000142
Texas,1,0.10000000000000142
Iowa,1,0.10000000000000142
New York,1,0.10000000000000142
Wisconsin,1,0.10000000000000142
Washington,1,0.10000000000000142
South Carolina,1,0.10000000000000142
Utah,1,0.10000000000000142
Vermont,1,0.10000000000000142
Michigan,1,0.10000000000000142
Nebraska,1,0.10000000000000142
Maryland,1,0.10000000000000142
District of Columbia,1,0.10000000000000142
Rhode Island,1,0.10000000000000142
Florida,1,0.10000000000000142
North Carolina,1,0.10000000000000142
American Samoa,1,0.10000000000000142
New Hampshire,1,0.10000000000000142
Arkansas,1,0.10000000000000142
New Mexico,1,0.10000000000000142
New Jersey,1,0.10000000000000142
Indiana,1,0.10000000000000142
Pennsylvania,1,0.10000000000000142
Kansas,1,0.10000000000000142
Colorado,1,0.10000000000000142
Louisiana,1,0.10000000000000142
Minnesota,1,0.10000000000000142
Alabama,1,0.10000000000000142
Kentucky,1,0.10000000000000142
Wyoming,1,0.10000000000000142
Alaska,1,0.10000000000000142
Virginia,1,0.10000000000000142
South Dakota,1,0.10000000000000142
Oregon,1,0.10000000000000142
Mississippi,1,0.10000000000000142
Mississippi,7,0.8500000000000014
Louisiana,7,0.8500000000000014
Minnesota,7,0.8500000000000014
District of Columbia,7,0.8500000000000014
Alabama,7,0.8500000000000014
California,7,0.8500000000000014
Oklahoma,7,0.8500000000000014
Delaware,7,0.8500000000000014
Alaska,7,0.8500000000000014
Virginia,7,0.8500000000000014
Missouri,7,0.8500000000000014
Iowa,7,0.8500000000000014
Ohio,7,0.8500000000000014
Guam,7,0.8500000000000014
Maryland,7,0.8500000000000014
Texas,7,0.8500000000000014
Washington,7,0.8500000000000014
Georgia,7,0.8500000000000014
New Hampshire,7,0.8500000000000014
Montana,7,0.8500000000000014
Michigan,7,0.8500000000000014
New York,7,0.8500000000000014
Northern Mariana Islands,7,0.8500000000000014
Indiana,7,0.8500000000000014
North Dakota,7,0.8500000000000014
West Virginia,7,0.8500000000000014
Florida,7,0.8500000000000014
Hawaii,7,0.8500000000000014
Colorado,7,0.8500000000000014
North Carolina,7,0.8500000000000014
Kentucky,7,0.8500000000000014
Wisconsin,7,0.8500000000000014
South Carolina,7,0.8500000000000014
New Mexico,7,0.8500000000000014
Wyoming,7,0.8500000000000014
South Dakota,7,0.8500000000000014
Vermont,7,0.8500000000000014
Nebraska,7,0.8500000000000014
Virgin Islands,7,0.8500000000000014
Maine,7,0.8500000000000014
Utah,7,0.8500000000000014
Arizona,7,0.8500000000000014
Arkansas,7,0.8500000000000014
Rhode Island,7,0.8500000000000014
Oregon,7,0.8500000000000014
Tennessee,7,0.8500000000000014
New Jersey,7,0.8500000000000014
American Samoa,7,0.8500000000000014
Massachusetts,7,0.8500000000000014
Nevada,7,0.8500000000000014
Pennsylvania,7,0.8500000000000014
Kansas,7,0.8500000000000014
Connecticut,7,0.8500000000000014
Illinois,7,0.8500000000000014
Arizona,35,0.970000000000006
Delaware,35,0.970000000000006
Rhode Island,35,0.970000000000006
New Hampshire,35,0.970000000000006
Oklahoma,35,0.970000000000006
Massachusetts,35,0.970000000000006
Texas,35,0.970000000000006
Kansas,35,0.970000000000006
Washington,35,0.970000000000006
Illinois,35,0.970000000000006
Louisiana,35,0.970000000000006
Alabama,35,0.970000000000006
Michigan,35,0.970000000000006
Alaska,35,0.970000000000006
Virginia,35,0.970000000000006
Guam,35,0.970000000000006
Mississippi,35,0.970000000000006
Florida,35,0.970000000000006
Iowa,35,0.970000000000006
New York,35,0.970000000000006
West Virginia,35,0.970000000000006
Montana,35,0.970000000000006
North Carolina,35,0.970000000000006
Arkansas,35,0.970000000000006
Maryland,35,0.970000000000006
New Jersey,35,0.970000000000006
Virgin Islands,35,0.970000000000006
Hawaii,35,0.970000000000006
Georgia,35,0.970000000000006
Kentucky,35,0.970000000000006
Ohio,35,0.970000000000006
Colorado,35,0.970000000000006
Vermont,35,0.970000000000006
Nebraska,35,0.970000000000006
New Mexico,35,0.970000000000006
Northern Mariana Islands,35,0.970000000000006
Indiana,35,0.970000000000006
Nevada,35,0.970000000000006
North Dakota,35,0.970000000000006
Wisconsin,35,0.970000000000006
District of Columbia,35,0.970000000000006
South Carolina,35,0.970000000000006
California,35,0.970000000000006
American Samoa,35,0.970000000000006
Utah,35,0.970000000000006
Wyoming,35,0.970000000000006
South Dakota,35,0.970000000000006
Oregon,35,0.970000000000006
Tennessee,35,0.970000000000006
Missouri,35,0.970000000000006
Pennsylvania,35,0.970000000000006
Connecticut,35,0.970000000000006
Maine,35,0.970000000000006
Minnesota,35,0.970000000000006
Idaho,35,0.970000000000006
Idaho,8,1.2399999999999949
North Dakota,8,1.2399999999999949
Arizona,8,1.2399999999999949
Texas,8,1.2399999999999949
Massachusetts,8,1.2399999999999949
Hawaii,8,1.2399999999999949
New Jersey,8,1.2399999999999949
Louisiana,8,1.2399999999999949
District of Columbia,8,1.2399999999999949
Utah,8,1.2399999999999949
Ohio,8,1.2399999999999949
Michigan,8,1.2399999999999949
Maryland,8,1.2399999999999949
West Virginia,8,1.2399999999999949
Connecticut,8,1.2399999999999949
Illinois,8,1.2399999999999949
Colorado,8,1.2399999999999949
Delaware,8,1.2399999999999949
Nevada,8,1.2399999999999949
Maine,8,1.2399999999999949
Northern Mariana Islands,8,1.2399999999999949
Missouri,8,1.2399999999999949
North Carolina,8,1.2399999999999949
American Samoa,8,1.2399999999999949
Nebraska,8,1.2399999999999949
Iowa,8,1.2399999999999949
New York,8,1.2399999999999949
Arkansas,8,1.2399999999999949
Mississippi,8,1.2399999999999949
Wisconsin,8,1.2399999999999949
New Mexico,8,1.2399999999999949
California,8,1.2399999999999949
South Carolina,8,1.2399999999999949
Florida,8,1.2399999999999949
Vermont,8,1.2399999999999949
Montana,8,1.2399999999999949
Minnesota,8,1.2399999999999949
Alabama,8,1.2399999999999949
Oregon,8,1.2399999999999949
Guam,8,1.2399999999999949
Tennessee,8,1.2399999999999949
Virgin Islands,8,1.2399999999999949
New Hampshire,8,1.2399999999999949
Washington,8,1.2399999999999949
Pennsylvania,8,1.2399999999999949
Kansas,8,1.2399999999999949
Indiana,8,1.2399999999999949
Oklahoma,8,1.2399999999999949
Kentucky,8,1.2399999999999949
Georgia,8,1.2399999999999949
Wyoming,8,1.2399999999999949
South Dakota,8,1.2399999999999949
Alaska,8,1.2399999999999949
Virginia,8,1.2399999999999949
Rhode Island,8,1.2399999999999949
New Hampshire,17,1.3399999999999963
Northern Mariana Islands,17,1.3399999999999963
Pennsylvania,17,1.3399999999999963
Guam,17,1.3399999999999963
Missouri,17,1.3399999999999963
Virgin Islands,17,1.3399999999999963
Texas,17,1.3399999999999963
Iowa,17,1.3399999999999963
New York,17,1.3399999999999963
Hawaii,17,1.3399999999999963
Washington,17,1.3399999999999963
Utah,17,1.3399999999999963
Michigan,17,1.3399999999999963
Nebraska,17,1.3399999999999963
Virginia,17,1.3399999999999963
Oregon,17,1.3399999999999963
Mississippi,17,1.3399999999999963
Nevada,17,1.3399999999999963
Maine,17,1.3399999999999963
Rhode Island,17,1.3399999999999963
Florida,17,1.3399999999999963
District of Columbia,17,1.3399999999999963
North Carolina,17,1.3399999999999963
California,17,1.3399999999999963
American Samoa,17,1.3399999999999963
Arkansas,17,1.3399999999999963
New Mexico,17,1.3399999999999963
Massachusetts,17,1.3399999999999963
Indiana,17,1.3399999999999963
New Jersey,17,1.3399999999999963
Kansas,17,1.3399999999999963
Louisiana,17,1.3399999999999963
Minnesota,17,1.3399999999999963
Alabama,17,1.3399999999999963
Illinois,17,1.3399999999999963
West Virginia,17,1.3399999999999963
Montana,17,1.3399999999999963
Kentucky,17,1.3399999999999963
Connecticut,17,1.3399999999999963
Colorado,17,1.3399999999999963
Idaho,17,1.3399999999999963
Delaware,17,1.3399999999999963
Wyoming,17,1.3399999999999963
Alaska,17,1.3399999999999963
South Dakota,17,1.3399999999999963
Tennessee,17,1.3399999999999963
North Dakota,17,1.3399999999999963
Ohio,17,1.3399999999999963
Wisconsin,17,1.3399999999999963
Arizona,17,1.3399999999999963
South Carolina,17,1.3399999999999963
Vermont,17,1.3399999999999963
Maryland,17,1.3399999999999963
Oklahoma,17,1.3399999999999963
Georgia,17,1.3399999999999963
Idaho,7,1.6299999999999955
Maryland,5,1.7099999999999937
Virgin Islands,5,1.7099999999999937
Texas,5,1.7099999999999937
New York,5,1.7099999999999937
Washington,5,1.7099999999999937
Utah,5,1.7099999999999937
Rhode Island,5,1.7099999999999937
District of Columbia,5,1.7099999999999937
Michigan,5,1.7099999999999937
American Samoa,5,1.7099999999999937
Indiana,5,1.7099999999999937
Kansas,5,1.7099999999999937
Florida,5,1.7099999999999937
Louisiana,5,1.7099999999999937
North Carolina,5,1.7099999999999937
Colorado,5,1.7099999999999937
Minnesota,5,1.7099999999999937
Alabama,5,1.7099999999999937
California,5,1.7099999999999937
Kentucky,5,1.7099999999999937
Arkansas,5,1.7099999999999937
Ohio,5,1.7099999999999937
New Mexico,5,1.7099999999999937
Wyoming,5,1.7099999999999937
Alaska,5,1.7099999999999937
Virginia,5,1.7099999999999937
South Dakota,5,1.7099999999999937
Pennsylvania,5,1.7099999999999937
Maine,5,1.7099999999999937
Arizona,5,1.7099999999999937
Oklahoma,5,1.7099999999999937
Oregon,5,1.7099999999999937
Tennessee,5,1.7099999999999937
Massachusetts,5,1.7099999999999937
New Jersey,5,1.7099999999999937
Nevada,5,1.7099999999999937
Georgia,5,1.7099999999999937
Illinois,5,1.7099999999999937
Montana,5,1.7099999999999937
New Hampshire,5,1.7099999999999937
Delaware,5,1.7099999999999937
Missouri,5,1.7099999999999937
Hawaii,5,1.7099999999999937
Northern Mariana Islands,5,1.7099999999999937
North Dakota,5,1.7099999999999937
West Virginia,5,1.7099999999999937
Connecticut,5,1.7099999999999937
Idaho,5,1.7099999999999937
Iowa,5,1.7099999999999937
Wisconsin,5,1.7099999999999937
Mississippi,5,1.7099999999999937
South Carolina,5,1.7099999999999937
Guam,5,1.7099999999999937
Vermont,5,1.7099999999999937
Nebraska,5,1.7099999999999937
Washington,32,2.1600000000000037
Maryland,32,2.1600000000000037
Colorado,32,2.1600000000000037
Arkansas,32,2.1600000000000037
Minnesota,32,2.1600000000000037
Northern Mariana Islands,32,2.1600000000000037
Kentucky,32,2.1600000000000037
Guam,32,2.1600000000000037
Ohio,32,2.1600000000000037
Iowa,32,2.1600000000000037
New York,32,2.1600000000000037
Wisconsin,32,2.1600000000000037
New Mexico,32,2.1600000000000037
Indiana,32,2.1600000000000037
New Hampshire,32,2.1600000000000037
Missouri,32,2.1600000000000037
Pennsylvania,32,2.1600000000000037
Alabama,32,2.1600000000000037
Hawaii,32,2.1600000000000037
Wyoming,32,2.1600000000000037
Alaska,32,2.1600000000000037
Virginia,32,2.1600000000000037
Rhode Island,32,2.1600000000000037
Oregon,32,2.1600000000000037
Tennessee,32,2.1600000000000037
Mississippi,32,2.1600000000000037
Idaho,32,2.1600000000000037
Arizona,32,2.1600000000000037
Nevada,32,2.1600000000000037
Kansas,32,2.1600000000000037
Louisiana,32,2.1600000000000037
District of Columbia,32,2.1600000000000037
Texas,32,2.1600000000000037
Georgia,32,2.1600000000000037
South Dakota,32,2.1600000000000037
Illinois,32,2.1600000000000037
Florida,32,2.1600000000000037
Vermont,32,2.1600000000000037
Michigan,32,2.1600000000000037
Nebraska,32,2.1600000000000037
West Virginia,32,2.1600000000000037
Montana,32,2.1600000000000037
Connecticut,32,2.1600000000000037
Maine,32,2.1600000000000037
North Dakota,32,2.1600000000000037
Delaware,32,2.1600000000000037
Oklahoma,32,2.1600000000000037
Massachusetts,32,2.1600000000000037
Virgin Islands,32,2.1600000000000037
New Jersey,32,2.1600000000000037
South Carolina,32,2.1600000000000037
North Carolina,32,2.1600000000000037
California,32,2.1600000000000037
American Samoa,32,2.1600000000000037
Utah,32,2.1600000000000037
Oklahoma,9,3.0800000000000125
Massachusetts,9,3.0800000000000125
Kentucky,9,3.0800000000000125
New Jersey,9,3.0800000000000125
Georgia,9,3.0800000000000125
Wyoming,9,3.0800000000000125
Alaska,9,3.0800000000000125
Virginia,9,3.0800000000000125
West Virginia,9,3.0800000000000125
Idaho,9,3.0800000000000125
Delaware,9,3.0800000000000125
Nevada,9,3.0800000000000125
Northern Mariana Islands,9,3.0800000000000125
North Dakota,9,3.0800000000000125
Arizona,9,3.0800000000000125
Texas,9,3.0800000000000125
Iowa,9,3.0800000000000125
New York,9,3.0800000000000125
Wisconsin,9,3.0800000000000125
Missouri,9,3.0800000000000125
Utah,9,3.0800000000000125
Maine,9,3.0800000000000125
Florida,9,3.0800000000000125
Michigan,9,3.0800000000000125
Maryland,9,3.0800000000000125
Illinois,9,3.0800000000000125
Montana,9,3.0800000000000125
Guam,9,3.0800000000000125
North Carolina,9,3.0800000000000125
Virgin Islands,9,3.0800000000000125
American Samoa,9,3.0800000000000125
New Hampshire,9,3.0800000000000125
New Mexico,9,3.0800000000000125
Washington,9,3.0800000000000125
South Carolina,9,3.0800000000000125
District of Columbia,9,3.0800000000000125
Pennsylvania,9,3.0800000000000125
Kansas,9,3.0800000000000125
Arkansas,9,3.0800000000000125
Vermont,9,3.0800000000000125
Hawaii,9,3.0800000000000125
Nebraska,9,3.0800000000000125
Louisiana,9,3.0800000000000125
Minnesota,9,3.0800000000000125
Alabama,9,3.0800000000000125
Ohio,9,3.0800000000000125
South Dakota,9,3.0800000000000125
Oregon,9,3.0800000000000125
Rhode Island,9,3.0800000000000125
Tennessee,9,3.0800000000000125
Connecticut,9,3.0800000000000125
California,9,3.0800000000000125
Mississippi,9,3.0800000000000125
Colorado,9,3.0800000000000125
Indiana,9,3.0800000000000125
District of Columbia,52,3.180000000000007
Michigan,52,3.180000000000007
American Samoa,52,3.180000000000007
Hawaii,52,3.180000000000007
New Hampshire,52,3.180000000000007
Virginia,52,3.180000000000007
Florida,52,3.180000000000007
Virgin Islands,52,3.180000000000007
North Carolina,52,3.180000000000007
Minnesota,52,3.180000000000007
Northern Mariana Islands,52,3.180000000000007
Utah,52,3.180000000000007
Kentucky,52,3.180000000000007
Connecticut,52,3.180000000000007
Washington,52,3.180000000000007
Oregon,52,3.180000000000007
Iowa,52,3.180000000000007
Indiana,52,3.180000000000007
New Jersey,52,3.180000000000007
Guam,52,3.180000000000007
Idaho,52,3.180000000000007
Nevada,52,3.180000000000007
Pennsylvania,52,3.180000000000007
Illinois,52,3.180000000000007
Mississippi,52,3.180000000000007
New York,52,3.180000000000007
New Mexico,52,3.180000000000007
California,52,3.180000000000007
Vermont,52,3.180000000000007
Oklahoma,52,3.180000000000007
Wyoming,52,3.180000000000007
Alaska,52,3.180000000000007
Montana,52,3.180000000000007
Maine,52,3.180000000000007
Rhode Island,52,3.180000000000007
North Dakota,52,3.180000000000007
Delaware,52,3.180000000000007
Massachusetts,52,3.180000000000007
Arizona,52,3.180000000000007
South Carolina,52,3.180000000000007
West Virginia,52,3.180000000000007
Arkansas,52,3.180000000000007
Kansas,52,3.180000000000007
Missouri,52,3.180000000000007
Tennessee,52,3.180000000000007
Louisiana,52,3.180000000000007
Maryland,52,3.180000000000007
Georgia,52,3.180000000000007
South Dakota,52,3.180000000000007
Alabama,52,3.180000000000007
Ohio,52,3.180000000000007
Nebraska,52,3.180000000000007
Colorado,52,3.180000000000007
Texas,52,3.180000000000007
Wisconsin,52,3.180000000000007
Maryland,27,4.240000000000002
Illinois,27,4.240000000000002
Kentucky,27,4.240000000000002
Kansas,27,4.240000000000002
Wyoming,27,4.240000000000002
Nebraska,27,4.240000000000002
Louisiana,27,4.240000000000002
Minnesota,27,4.240000000000002
Virginia,27,4.240000000000002
Alabama,27,4.240000000000002
West Virginia,27,4.240000000000002
Colorado,27,4.240000000000002
Mississippi,27,4.240000000000002
Arizona,27,4.240000000000002
Rhode Island,27,4.240000000000002
North Dakota,27,4.240000000000002
Florida,27,4.240000000000002
Texas,27,4.240000000000002
California,27,4.240000000000002
Iowa,27,4.240000000000002
New York,27,4.240000000000002
Wisconsin,27,4.240000000000002
Michigan,27,4.240000000000002
Connecticut,27,4.240000000000002
Oregon,27,4.240000000000002
Pennsylvania,27,4.240000000000002
Ohio,27,4.240000000000002
Montana,27,4.240000000000002
New Jersey,27,4.240000000000002
Georgia,27,4.240000000000002
Alaska,27,4.240000000000002
Guam,27,4.240000000000002
Missouri,27,4.240000000000002
North Carolina,27,4.240000000000002
Arkansas,27,4.240000000000002
New Mexico,27,4.240000000000002
Massachusetts,27,4.240000000000002
Washington,27,4.240000000000002
New Hampshire,27,4.240000000000002
Northern Mariana Islands,27,4.240000000000002
South Carolina,27,4.240000000000002
Oklahoma,27,4.240000000000002
Vermont,27,4.240000000000002
Idaho,27,4.240000000000002
District of Columbia,27,4.240000000000002
Utah,27,4.240000000000002
Delaware,27,4.240000000000002
Nevada,27,4.240000000000002
South Dakota,27,4.240000000000002
Tennessee,27,4.240000000000002
Hawaii,27,4.240000000000002
Maine,27,4.240000000000002
Indiana,27,4.240000000000002
Virgin Islands,27,4.240000000000002
American Samoa,27,4.240000000000002
West Virginia,3,5.569999999999993
Montana,3,5.569999999999993
Florida,3,5.569999999999993
Colorado,3,5.569999999999993
North Carolina,3,5.569999999999993
New Mexico,3,5.569999999999993
Ohio,3,5.569999999999993
Northern Mariana Islands,3,5.569999999999993
Indiana,3,5.569999999999993
North Dakota,3,5.569999999999993
Virgin Islands,3,5.569999999999993
Hawaii,3,5.569999999999993
Pennsylvania,3,5.569999999999993
Kentucky,3,5.569999999999993
Wisconsin,3,5.569999999999993
Connecticut,3,5.569999999999993
South Carolina,3,5.569999999999993
Utah,3,5.569999999999993
Wyoming,3,5.569999999999993
South Dakota,3,5.569999999999993
Vermont,3,5.569999999999993
Oregon,3,5.569999999999993
Nebraska,3,5.569999999999993
Tennessee,3,5.569999999999993
Nevada,3,5.569999999999993
Arkansas,3,5.569999999999993
Maine,3,5.569999999999993
Arizona,3,5.569999999999993
New Jersey,3,5.569999999999993
Rhode Island,3,5.569999999999993
California,3,5.569999999999993
American Samoa,3,5.569999999999993
Massachusetts,3,5.569999999999993
Kansas,3,5.569999999999993
Louisiana,3,5.569999999999993
Illinois,3,5.569999999999993
Minnesota,3,5.569999999999993
Alabama,3,5.569999999999993
Idaho,3,5.569999999999993
New Hampshire,3,5.569999999999993
Delaware,3,5.569999999999993
Alaska,3,5.569999999999993
Virginia,3,5.569999999999993
Guam,3,5.569999999999993
Missouri,3,5.569999999999993
Mississippi,3,5.569999999999993
Texas,3,5.569999999999993
Iowa,3,5.569999999999993
New York,3,5.569999999999993
Washington,3,5.569999999999993
Oklahoma,3,5.569999999999993
Michigan,3,5.569999999999993
District of Columbia,3,5.569999999999993
Maryland,3,5.569999999999993
Georgia,3,5.569999999999993
Maryland,28,5.599999999999994
California,28,5.599999999999994
Illinois,28,5.599999999999994
Kentucky,28,5.599999999999994
Washington,28,5.599999999999994
Delaware,28,5.599999999999994
Georgia,28,5.599999999999994
Wyoming,28,5.599999999999994
South Dakota,28,5.599999999999994
Alaska,28,5.599999999999994
Maine,28,5.599999999999994
Rhode Island,28,5.599999999999994
West Virginia,28,5.599999999999994
Ohio,28,5.599999999999994
Nebraska,28,5.599999999999994
Connecticut,28,5.599999999999994
Colorado,28,5.599999999999994
Wisconsin,28,5.599999999999994
Arizona,28,5.599999999999994
Nevada,28,5.599999999999994
South Carolina,28,5.599999999999994
Vermont,28,5.599999999999994
Montana,28,5.599999999999994
Texas,28,5.599999999999994
Idaho,28,5.599999999999994
District of Columbia,28,5.599999999999994
Northern Mariana Islands,28,5.599999999999994
Utah,28,5.599999999999994
New Jersey,28,5.599999999999994
Michigan,28,5.599999999999994
Missouri,28,5.599999999999994
American Samoa,28,5.599999999999994
Oregon,28,5.599999999999994
Iowa,28,5.599999999999994
Oklahoma,28,5.599999999999994
Hawaii,28,5.599999999999994
Florida,28,5.599999999999994
North Carolina,28,5.599999999999994
Minnesota,28,5.599999999999994
Virginia,28,5.599999999999994
Alabama,28,5.599999999999994
New York,28,5.599999999999994
Arkansas,28,5.599999999999994
New Mexico,28,5.599999999999994
Mississippi,28,5.599999999999994
North Dakota,28,5.599999999999994
Massachusetts,28,5.599999999999994
New Hampshire,28,5.599999999999994
Louisiana,28,5.599999999999994
Pennsylvania,28,5.599999999999994
Kansas,28,5.599999999999994
Indiana,28,5.599999999999994
Guam,28,5.599999999999994
Tennessee,28,5.599999999999994
Virgin Islands,28,5.599999999999994
Florida,20,5.939999999999998
Massachusetts,20,5.939999999999998
Idaho,20,5.939999999999998
Arizona,20,5.939999999999998
Nevada,20,5.939999999999998
South Carolina,20,5.939999999999998
Kansas,20,5.939999999999998
Tennessee,20,5.939999999999998
Louisiana,20,5.939999999999998
Vermont,20,5.939999999999998
Maryland,20,5.939999999999998
Montana,20,5.939999999999998
Ohio,20,5.939999999999998
Delaware,20,5.939999999999998
Georgia,20,5.939999999999998
South Dakota,20,5.939999999999998
West Virginia,20,5.939999999999998
Colorado,20,5.939999999999998
California,20,5.939999999999998
Wisconsin,20,5.939999999999998
Missouri,20,5.939999999999998
Pennsylvania,20,5.939999999999998
Oklahoma,20,5.939999999999998
Nebraska,20,5.939999999999998
Virginia,20,5.939999999999998
Texas,20,5.939999999999998
New Hampshire,20,5.939999999999998
Northern Mariana Islands,20,5.939999999999998
Utah,20,5.939999999999998
Michigan,20,5.939999999999998
American Samoa,20,5.939999999999998
Oregon,20,5.939999999999998
Iowa,20,5.939999999999998
Hawaii,20,5.939999999999998
Indiana,20,5.939999999999998
Guam,20,5.939999999999998
District of Columbia,20,5.939999999999998
Virgin Islands,20,5.939999999999998
North Carolina,20,5.939999999999998
Minnesota,20,5.939999999999998
Alabama,20,5.939999999999998
Illinois,20,5.939999999999998
Mississippi,20,5.939999999999998
Kentucky,20,5.939999999999998
New Jersey,20,5.939999999999998
New York,20,5.939999999999998
Arkansas,20,5.939999999999998
Washington,20,5.939999999999998
New Mexico,20,5.939999999999998
Wyoming,20,5.939999999999998
Alaska,20,5.939999999999998
Connecticut,20,5.939999999999998
Maine,20,5.939999999999998
Rhode Island,20,5.939999999999998
North Dakota,20,5.939999999999998
Idaho,15,6.069999999999993
Iowa,15,6.069999999999993
