STATE,DISTRICT,MARGIN
West Virginia,13,25.0
Michigan,20,25.0
American Samoa,11,25.0
Kentucky,1,25.0
District of Columbia,26,25.0
Minnesota,6,25.0
Ohio,52,25.0
Oregon,34,25.0
Kansas,7,25.0
Maine,5,25.0
Alabama,27,25.0
Wyoming,39,25.0
Alabama,37,25.0
Hawaii,2,25.0
New York,8,25.0
Georgia,53,25.0
Indiana,53,25.0
Connecticut,31,25.0
Pennsylvania,14,25.0
South Dakota,11,25.0
Delaware,34,25.0
Wyoming,52,25.0
California,13,25.0
West Virginia,6,25.0
Wisconsin,18,25.0
Michigan,31,25.0
American Samoa,2,25.0
Hawaii,24,25.0
Wisconsin,50,25.0
District of Columbia,19,25.0
Oklahoma,48,25.0
Ohio,47,25.0
Oregon,45,25.0
Georgia,47,25.0
Maine,12,25.0
Alabama,16,25.0
Wyoming,46,25.0
Hawaii,11,25.0
Indiana,44,25.0
Connecticut,22,25.0
South Dakota,12,25.0
Oklahoma,10,25.0
Texas,4,25.0
California,4,25.0
Montana,15,25.0
New York,28,25.0
Massachusetts,9,25.0
New York,12,25.0
Nevada,41,25.0
Minnesota,40,25.0
American Samoa,5,25.0
Pennsylvania,25,25.0
Kentucky,51,25.0
Tennessee,31,25.0
Wisconsin,41,25.0
New Hampshire,24,25.0
Arkansas,52,25.0
Ohio,38,25.0
Oregon,20,25.0
Mississippi,45,25.0
Colorado,3,25.0
Wyoming,53,25.0
Hawaii,20,25.0
Tennessee,46,25.0
Indiana,35,25.0
Connecticut,17,25.0
South Dakota,5,25.0
Texas,15,25.0
Idaho,33,25.0
Montana,0,25.0
Vermont,30,25.0
Nevada,46,25.0
Kentucky,52,25.0
Wisconsin,32,25.0
New Hampshire,17,25.0
Washington,8,25.0
Ohio,33,25.0
Georgia,6,25.0
Oregon,31,25.0
Mississippi,36,25.0
Alabama,46,25.0
Pennsylvania,29,25.0
Hawaii,29,25.0
Alaska,20,25.0
Louisiana,0,25.0
Tennessee,37,25.0
Connecticut,8,25.0
Colorado,23,25.0
South Dakota,30,25.0
Texas,22,25.0
Delaware,53,25.0
Hawaii,23,25.0
Idaho,42,25.0
Georgia,35,25.0
Vermont,25,25.0
New Mexico,52,25.0
Nevada,39,25.0
North Carolina,36,25.0
Kentucky,45,25.0
Wisconsin,39,25.0
New Hampshire,14,25.0
Washington,1,25.0
Arkansas,38,25.0
Iowa,24,25.0
Oregon,6,25.0
Mississippi,35,25.0
Alabama,39,25.0
Wyoming,3,25.0
Guam,11,25.0
Hawaii,38,25.0
Guam,31,25.0
Louisiana,9,25.0
New Jersey,45,25.0
Virginia,9,25.0
Connecticut,3,25.0
South Dakota,23,25.0
Texas,25,25.0
Arizona,22,25.0
California,49,25.0
Idaho,19,25.0
Montana,18,25.0
Vermont,16,25.0
New Jersey,17,25.0
Florida,38,25.0
American Samoa,46,25.0
North Carolina,45,25.0
Kentucky,38,25.0
Kansas,44,25.0
New Hampshire,7,25.0
Washington,6,25.0
Nebraska,3,25.0
Arkansas,47,25.0
Iowa,19,25.0
Maryland,31,25.0
Oregon,1,25.0
Nebraska,14,25.0
New Hampshire,8,25.0
Virgin Islands,18,25.0
Wyoming,10,25.0
Nebraska,25,25.0
Hawaii,47,25.0
Nebraska,13,25.0
Louisiana,18,25.0
Tennessee,51,25.0
North Dakota,33,25.0
Rhode Island,47,25.0
Texas,32,25.0
Arizona,31,25.0
California,40,25.0
Idaho,28,25.0
Montana,43,25.0
Vermont,11,25.0
New Mexico,34,25.0
Florida,47,25.0
Nevada,53,25.0
Illinois,37,25.0
South Carolina,39,25.0
American Samoa,33,25.0
Georgia,23,25.0
North Carolina,42,25.0
Alabama,11,25.0
Washington,31,25.0
Arkansas,40,25.0
Iowa,10,25.0
Maryland,20,25.0
Oregon,8,25.0
Mississippi,49,25.0
Virgin Islands,21,25.0
Colorado,30,25.0
Wyoming,17,25.0
Alaska,44,25.0
Hawaii,40,25.0
Colorado,9,25.0
Alaska,9,25.0
Hawaii,6,25.0
Virginia,3,25.0
Louisiana,27,25.0
Alaska,33,25.0
Tennessee,10,25.0
Guam,26,25.0
Connecticut,53,25.0
Rhode Island,38,25.0
Texas,43,25.0
Arizona,0,25.0
California,35,25.0
Idaho,5,25.0
Montana,44,25.0
Colorado,42,25.0
Alaska,0,25.0
New Mexico,43,25.0
Florida,40,25.0
Utah,38,25.0
Nevada,10,25.0
Illinois,44,25.0
Alaska,21,25.0
Hawaii,33,25.0
North Carolina,51,25.0
North Dakota,27,25.0
Nebraska,15,25.0
Washington,20,25.0
Arkansas,17,25.0
Iowa,5,25.0
Maryland,13,25.0
Mississippi,8,25.0
Virgin Islands,28,25.0
Northern Mariana Islands,51,25.0
Wyoming,24,25.0
Hawaii,49,25.0
Guam,52,25.0
Massachusetts,27,25.0
Louisiana,28,25.0
New Jersey,16,25.0
Tennessee,49,25.0
Connecticut,44,25.0
Guam,33,25.0
Texas,50,25.0
Arizona,9,25.0
Idaho,14,25.0
Montana,37,25.0
New York,21,25.0
Pennsylvania,1,25.0
Colorado,33,25.0
New Mexico,16,25.0
Florida,49,25.0
Utah,41,25.0
District of Columbia,45,25.0
Nevada,3,25.0
Illinois,43,25.0
Oklahoma,46,25.0
North Dakota,28,25.0
Tennessee,22,25.0
New Hampshire,50,25.0
Washington,45,25.0
Arkansas,26,25.0
Maryland,10,25.0
Mississippi,7,25.0
Virgin Islands,7,25.0
Kansas,18,25.0
Wyoming,31,25.0
Texas,34,25.0
Missouri,15,25.0
Guam,51,25.0
New Hampshire,51,25.0
Virginia,17,25.0
New Jersey,9,25.0
Connecticut,39,25.0
Rhode Island,52,25.0
Michigan,36,25.0
Texas,53,25.0
Arizona,50,25.0
Vermont,52,25.0
New Mexico,25,25.0
Utah,48,25.0
District of Columbia,42,25.0
Montana,21,25.0
Nevada,24,25.0
Illinois,18,25.0
Oklahoma,9,25.0
North Carolina,1,25.0
North Dakota,21,25.0
Maine,53,25.0
New Hampshire,43,25.0
Washington,34,25.0
Arkansas,3,25.0
Maryland,3,25.0
Mississippi,30,25.0
Virgin Islands,14,25.0
Northern Mariana Islands,33,25.0
Pennsylvania,6,25.0
Nebraska,49,25.0
Virginia,24,25.0
New Jersey,14,25.0
Rhode Island,51,25.0
Michigan,47,25.0
Missouri,37,25.0
Georgia,42,25.0
Vermont,47,25.0
New Mexico,30,25.0
Florida,3,25.0
District of Columbia,35,25.0
Nevada,17,25.0
Illinois,25,25.0
South Carolina,3,25.0
Oklahoma,0,25.0
Ohio,31,25.0
North Carolina,14,25.0
New York,41,25.0
North Dakota,14,25.0
New Hampshire,32,25.0
Northern Mariana Islands,30,25.0
Arkansas,12,25.0
Iowa,46,25.0
Indiana,28,25.0
Mississippi,21,25.0
Virgin Islands,49,25.0
Northern Mariana Islands,40,25.0
Wisconsin,44,25.0
New York,14,25.0
Delaware,11,25.0
Nebraska,42,25.0
Virginia,31,25.0
West Virginia,47,25.0
New Jersey,7,25.0
Virginia,16,25.0
New York,32,25.0
Rhode Island,10,25.0
Pennsylvania,35,25.0
Minnesota,32,25.0
New York,47,25.0
Vermont,38,25.0
New Jersey,22,25.0
Wisconsin,25,25.0
New Mexico,7,25.0
Florida,12,25.0
Utah,2,25.0
Nevada,22,25.0
Illinois,0,25.0
South Carolina,8,25.0
Oklahoma,31,25.0
Ohio,22,25.0
North Carolina,23,25.0
Kansas,37,25.0
Maine,39,25.0
Massachusetts,36,25.0
North Dakota,7,25.0
Washington,48,25.0
Oklahoma,52,25.0
Iowa,41,25.0
Maryland,49,25.0
Oklahoma,41,25.0
Indiana,19,25.0
Northern Mariana Islands,47,25.0
New York,4,25.0
Delaware,12,25.0
Guam,40,25.0
Virginia,38,25.0
West Virginia,32,25.0
Pennsylvania,50,25.0
Rhode Island,1,25.0
Pennsylvania,36,25.0
Arizona,37,25.0
Vermont,33,25.0
Wisconsin,16,25.0
New Mexico,12,25.0
Florida,21,25.0
Utah,5,25.0
District of Columbia,49,25.0
Illinois,15,25.0
South Carolina,17,25.0
Minnesota,41,25.0
Ohio,17,25.0
Georgia,30,25.0
North Carolina,28,25.0
Kansas,26,25.0
Maine,46,25.0
Michigan,0,25.0
Iowa,32,25.0
Maryland,46,25.0
Indiana,10,25.0
Virgin Islands,35,25.0
Northern Mariana Islands,22,25.0
South Dakota,46,25.0
Delaware,5,25.0
Virginia,45,25.0
West Virginia,25,25.0
Rhode Island,24,25.0
Pennsylvania,45,25.0
Arizona,46,25.0
Kentucky,29,25.0
Wisconsin,23,25.0
Florida,30,25.0
Utah,12,25.0
District of Columbia,14,25.0
South Carolina,22,25.0
Minnesota,18,25.0
Hawaii,42,25.0
Kansas,19,25.0
Maine,41,25.0
Nebraska,8,25.0
Maryland,39,25.0
Indiana,1,25.0
Massachusetts,16,25.0
Virgin Islands,42,25.0
Northern Mariana Islands,29,25.0
South Dakota,39,25.0
Delaware,30,25.0
Massachusetts,37,25.0
West Virginia,18,25.0
Tennessee,8,25.0
Rhode Island,23,25.0
Nebraska,35,25.0
Pennsylvania,22,25.0
American Samoa,30,25.0
Kentucky,22,25.0
New York,18,25.0
Wisconsin,14,25.0
Utah,23,25.0
District of Columbia,7,25.0
Oklahoma,37,25.0
Oklahoma,36,25.0
Ohio,3,25.0
Oregon,49,25.0
North Dakota,42,25.0
Maine,16,25.0
Alabama,12,25.0
Louisiana,34,25.0
Virgin Islands,45,25.0
Northern Mariana Islands,4,25.0
Delaware,23,25.0
California,24,25.0
Massachusetts,42,25.0
West Virginia,11,25.0
North Dakota,11,25.0
Michigan,10,25.0
American Samoa,17,25.0
Kentucky,15,25.0
Wisconsin,5,25.0
Michigan,49,25.0
Utah,30,25.0
District of Columbia,28,25.0
Minnesota,28,25.0
Kansas,1,25.0
Maine,27,25.0
Alabama,5,25.0
Georgia,21,25.0
Nebraska,5,25.0
Georgia,52,25.0
Northern Mariana Islands,11,25.0
Pennsylvania,15,25.0
South Dakota,49,25.0
Delaware,40,25.0
California,19,25.0
Idaho,53,25.0
West Virginia,12,25.0
Pennsylvania,0,25.0
Colorado,47,25.0
American Samoa,8,25.0
Hawaii,25,25.0
Kentucky,0,25.0
Nebraska,23,25.0
Minnesota,5,25.0
Ohio,53,25.0
Oregon,35,25.0
New York,38,25.0
Kansas,6,25.0
Maine,2,25.0
Alabama,26,25.0
Georgia,28,25.0
Hawaii,1,25.0
Louisiana,44,25.0
Colorado,16,25.0
Missouri,49,25.0
Connecticut,28,25.0
Alaska,42,25.0
South Dakota,10,25.0
Colorado,11,25.0
Texas,2,25.0
Delaware,33,25.0
California,10,25.0
West Virginia,5,25.0
New York,29,25.0
Virginia,23,25.0
Guam,21,25.0
Colorado,49,25.0
Pennsylvania,9,25.0
Oklahoma,22,25.0
American Samoa,3,25.0
Colorado,44,25.0
New Jersey,15,25.0
Wisconsin,51,25.0
Colorado,46,25.0
District of Columbia,18,25.0
Oklahoma,49,25.0
Ohio,44,25.0
Oregon,42,25.0
Maine,13,25.0
Colorado,4,25.0
Georgia,27,25.0
Hawaii,10,25.0
Minnesota,12,25.0
Colorado,48,25.0
Louisiana,53,25.0
Ohio,42,25.0
Indiana,45,25.0
Connecticut,23,25.0
South Dakota,3,25.0
Texas,5,25.0
California,5,25.0
Idaho,39,25.0
Montana,14,25.0
Nevada,40,25.0
Alaska,31,25.0
Kentucky,50,25.0
Wisconsin,42,25.0
New Hampshire,27,25.0
Arkansas,51,25.0
Ohio,39,25.0
Wyoming,49,25.0
Oregon,21,25.0
Mississippi,46,25.0
Alabama,40,25.0
Georgia,2,25.0
Missouri,38,25.0
Tennessee,47,25.0
Indiana,36,25.0
Connecticut,14,25.0
South Dakota,4,25.0
Texas,12,25.0
Delaware,51,25.0
Idaho,32,25.0
Montana,7,25.0
Vermont,31,25.0
Nevada,33,25.0
Kentucky,43,25.0
Wisconsin,33,25.0
North Dakota,53,25.0
New Hampshire,16,25.0
Washington,11,25.0
Iowa,30,25.0
Oregon,28,25.0
Mississippi,37,25.0
Alabama,33,25.0
Georgia,9,25.0
Alaska,14,25.0
Missouri,41,25.0
Nebraska,26,25.0
Louisiana,7,25.0
Tennessee,38,25.0
Massachusetts,25,25.0
Connecticut,9,25.0
South Dakota,29,25.0
Texas,23,25.0
Delaware,52,25.0
District of Columbia,31,25.0
Idaho,41,25.0
Montana,24,25.0
Vermont,22,25.0
Tennessee,15,25.0
Nevada,38,25.0
Illinois,48,25.0
American Samoa,52,25.0
North Carolina,39,25.0
Kentucky,44,25.0
North Dakota,15,25.0
New Hampshire,9,25.0
Washington,0,25.0
Arkansas,37,25.0
Iowa,25,25.0
Oregon,7,25.0
Kansas,15,25.0
Wyoming,4,25.0
Missouri,16,25.0
Guam,24,25.0
Louisiana,8,25.0
New Jersey,44,25.0
Connecticut,0,25.0
South Dakota,22,25.0
Wyoming,6,25.0
Texas,30,25.0
Arizona,21,25.0
California,46,25.0
Idaho,18,25.0
Montana,17,25.0
Vermont,17,25.0
Florida,37,25.0
South Carolina,33,25.0
American Samoa,47,25.0
Georgia,22,25.0
North Carolina,44,25.0
Kentucky,37,25.0
New Hampshire,6,25.0
Washington,25,25.0
Arkansas,46,25.0
Iowa,16,25.0
Maryland,30,25.0
Oregon,14,25.0
Virgin Islands,19,25.0
Wyoming,11,25.0
Missouri,27,25.0
Alaska,3,25.0
Hawaii,7,25.0
Wyoming,7,25.0
New Jersey,37,25.0
Rhode Island,40,25.0
North Dakota,37,25.0
Texas,33,25.0
Arizona,30,25.0
California,41,25.0
Idaho,27,25.0
Montana,42,25.0
Vermont,8,25.0
Colorado,18,25.0
New Mexico,37,25.0
Florida,46,25.0
Nevada,52,25.0
Illinois,38,25.0
South Carolina,38,25.0
American Samoa,38,25.0
Missouri,23,25.0
North Carolina,53,25.0
Guam,27,25.0
Washington,30,25.0
Arkansas,23,25.0
Iowa,11,25.0
Maryland,23,25.0
Oregon,9,25.0
Mississippi,50,25.0
Virgin Islands,26,25.0
Alabama,52,25.0
Wyoming,18,25.0
Missouri,2,25.0
Guam,14,25.0
Virginia,4,25.0
Louisiana,26,25.0
Tennessee,11,25.0
New Jersey,33,25.0
Connecticut,50,25.0
Rhode Island,39,25.0
Nebraska,43,25.0
Texas,40,25.0
Arizona,7,25.0
California,32,25.0
Idaho,4,25.0
Montana,35,25.0
Vermont,3,25.0
New York,26,25.0
Virginia,30,25.0
Colorado,34,25.0
New Mexico,42,25.0
Utah,39,25.0
Nevada,13,25.0
Illinois,45,25.0
Oklahoma,45,25.0
North Carolina,50,25.0
Ohio,8,25.0
North Dakota,26,25.0
New Jersey,4,25.0
New Hampshire,52,25.0
Washington,23,25.0
Arkansas,16,25.0
Iowa,2,25.0
Maryland,12,25.0
Mississippi,9,25.0
Virgin Islands,29,25.0
North Dakota,49,25.0
Georgia,45,25.0
Hawaii,48,25.0
Alaska,49,25.0
Massachusetts,26,25.0
Tennessee,2,25.0
Connecticut,45,25.0
Texas,51,25.0
Arizona,8,25.0
Idaho,13,25.0
Montana,36,25.0
New Mexico,19,25.0
Florida,48,25.0
Utah,46,25.0
District of Columbia,44,25.0
Nevada,2,25.0
Illinois,20,25.0
South Carolina,52,25.0
Kansas,49,25.0
New Hampshire,45,25.0
Washington,44,25.0
Arkansas,25,25.0
Maryland,5,25.0
Mississippi,0,25.0
Virgin Islands,4,25.0
Pennsylvania,7,25.0
Missouri,12,25.0
Massachusetts,3,25.0
Tennessee,25,25.0
Connecticut,36,25.0
Rhode Island,53,25.0
Pennsylvania,48,25.0
Arizona,49,25.0
Missouri,36,25.0
Georgia,41,25.0
Vermont,53,25.0
New Mexico,24,25.0
Utah,49,25.0
Guam,20,25.0
Nevada,27,25.0
Illinois,19,25.0
New York,49,25.0
Minnesota,53,25.0
Nebraska,38,25.0
North Carolina,0,25.0
New York,46,25.0
North Dakota,20,25.0
Maine,50,25.0
New Hampshire,42,25.0
Washington,37,25.0
Arkansas,2,25.0
Iowa,52,25.0
Maryland,2,25.0
Tennessee,33,25.0
Mississippi,31,25.0
Nebraska,7,25.0
Virgin Islands,15,25.0
Northern Mariana Islands,34,25.0
New Hampshire,1,25.0
Alaska,53,25.0
Nebraska,18,25.0
Nebraska,48,25.0
Massachusetts,8,25.0
West Virginia,53,25.0
Tennessee,16,25.0
Massachusetts,30,25.0
Kansas,22,25.0
Rhode Island,12,25.0
Michigan,44,25.0
Minnesota,33,25.0
Vermont,44,25.0
Tennessee,6,25.0
New Mexico,1,25.0
Florida,2,25.0
District of Columbia,34,25.0
Nevada,16,25.0
Illinois,26,25.0
South Carolina,2,25.0
Oklahoma,1,25.0
Ohio,28,25.0
North Carolina,9,25.0
North Dakota,13,25.0
Virginia,52,25.0
North Dakota,0,25.0
New Hampshire,35,25.0
Arkansas,11,25.0
Iowa,47,25.0
Alabama,1,25.0
Indiana,29,25.0
Mississippi,22,25.0
Northern Mariana Islands,41,25.0
Delaware,10,25.0
Guam,34,25.0
Virginia,32,25.0
West Virginia,46,25.0
New Jersey,6,25.0
Pennsylvania,51,25.0
Rhode Island,11,25.0
Pennsylvania,34,25.0
Arizona,35,25.0
Vermont,39,25.0
North Dakota,44,25.0
Colorado,51,25.0
Wisconsin,26,25.0
New Mexico,6,25.0
Florida,11,25.0
Utah,3,25.0
Alabama,29,25.0
Illinois,1,25.0
South Carolina,11,25.0
Oklahoma,24,25.0
Ohio,23,25.0
Georgia,29,25.0
North Carolina,22,25.0
North Dakota,6,25.0
Maine,36,25.0
Michigan,3,25.0
Washington,51,25.0
Iowa,38,25.0
Maryland,48,25.0
Indiana,20,25.0
Northern Mariana Islands,16,25.0
Delaware,3,25.0
Guam,41,25.0
Hawaii,0,25.0
Virginia,39,25.0
West Virginia,39,25.0
Colorado,53,25.0
Rhode Island,2,25.0
Pennsylvania,43,25.0
Arizona,36,25.0
Kentucky,27,25.0
Wisconsin,17,25.0
New Mexico,15,25.0
Florida,20,25.0
Utah,10,25.0
District of Columbia,48,25.0
Illinois,8,25.0
South Carolina,16,25.0
Oklahoma,23,25.0
Ohio,14,25.0
North Carolina,31,25.0
Kansas,29,25.0
Maine,47,25.0
Nebraska,9,25.0
Iowa,33,25.0
Maryland,41,25.0
Indiana,11,25.0
Massachusetts,17,25.0
Virgin Islands,32,25.0
Northern Mariana Islands,23,25.0
South Dakota,45,25.0
Minnesota,48,25.0
Delaware,4,25.0
Virginia,46,25.0
West Virginia,24,25.0
Rhode Island,25,25.0
Nebraska,36,25.0
Pennsylvania,44,25.0
Arizona,45,25.0
Kentucky,28,25.0
South Carolina,31,25.0
Virginia,37,25.0
Wisconsin,8,25.0
Florida,29,25.0
Utah,13,25.0
District of Columbia,9,25.0
South Carolina,25,25.0
Minnesota,17,25.0
Ohio,9,25.0
North Dakota,48,25.0
Maine,22,25.0
Maryland,38,25.0
Indiana,2,25.0
Virgin Islands,43,25.0
Kansas,8,25.0
South Dakota,38,25.0
Delaware,29,25.0
California,30,25.0
Virginia,53,25.0
West Virginia,17,25.0
Rhode Island,16,25.0
Pennsylvania,21,25.0
American Samoa,31,25.0
California,36,25.0
Kentucky,21,25.0
Wisconsin,15,25.0
Pennsylvania,37,25.0
Utah,20,25.0
District of Columbia,6,25.0
South Carolina,30,25.0
Minnesota,26,25.0
Ohio,0,25.0
North Dakota,41,25.0
Maine,17,25.0
Alabama,15,25.0
Louisiana,33,25.0
Northern Mariana Islands,5,25.0
Pennsylvania,8,25.0
Michigan,21,25.0
Delaware,22,25.0
California,25,25.0
Massachusetts,45,25.0
West Virginia,10,25.0
Michigan,11,25.0
American Samoa,22,25.0
Missouri,47,25.0
Kentucky,14,25.0
Wisconsin,6,25.0
Utah,31,25.0
Nebraska,24,25.0
Minnesota,3,25.0
New York,39,25.0
North Dakota,34,25.0
Maine,24,25.0
Alabama,4,25.0
Wyoming,34,25.0
Missouri,50,25.0
Louisiana,42,25.0
Indiana,48,25.0
Northern Mariana Islands,12,25.0
South Dakota,48,25.0
Delaware,47,25.0
California,16,25.0
Idaho,52,25.0
West Virginia,3,25.0
New York,2,25.0
Massachusetts,7,25.0
Michigan,18,25.0
Oklahoma,21,25.0
American Samoa,9,25.0
Kentucky,7,25.0
Tennessee,29,25.0
District of Columbia,20,25.0
Minnesota,4,25.0
Ohio,50,25.0
Oregon,32,25.0
Maine,3,25.0
Colorado,5,25.0
Wyoming,41,25.0
Missouri,53,25.0
Oklahoma,50,25.0
Louisiana,51,25.0
Connecticut,29,25.0
South Dakota,9,25.0
Texas,3,25.0
Delaware,32,25.0
California,11,25.0
West Virginia,4,25.0
Pennsylvania,52,25.0
Michigan,29,25.0
American Samoa,0,25.0
Tennessee,36,25.0
Wisconsin,52,25.0
New Hampshire,29,25.0
Minnesota,13,25.0
Ohio,45,25.0
Wyoming,48,25.0
Oregon,43,25.0
